;Name;Status;2016;2017;2018;2019;2020
Đắk Lắk;Krông Năng;District;124158.16633;124889.79118;125625.72727;126366;127106.27273
Đắk Lắk;Krông Pắc;District;195536.29347;195226.03696;194916.27273;194607;194297.72727
Đắk Lắk;Lắk;District;67211.38429;68091.02681;68982.18182;69885;70787.81818
Đắk Lắk;M'Đrắk;District;70244.88995;70875.25296;71511.27273;72153;72794.72727
Đắk Nông;Đắk Nông;Province;586654.35445;598261.08711;610097.45455;622168;634238.54545
Đắk Nông;Cư Jút;District;90708.50076;91011.6529;91315.81818;91621;91926.18182
Đắk Nông;Đăk Glong;District;60243.83179;62658.4794;65169.90909;67782;70394.09091
Đắk Nông;Đắk Mil;District;96638.60963;97711.12603;98795.54545;99892;100988.45455
Đắk Nông;Đắk R'Lấp;District;80999.32674;81842.41209;82694.27273;83555;84415.72727
Đắk Nông;Đắk Song;District;74225.66192;76265.2188;78360.81818;80514;82667.18182
Đắk Nông;Gia Nghĩa;District-level Town;57424.26243;59240.1473;61113.45455;63046;64978.54545
Đắk Nông;Krông Nô;District;71338.09862;72359.37537;73395.27273;74446;75496.72727
Đắk Nông;Tuy Đức;District;55338.33298;57261.91604;59252.36364;61312;63371.63636
Đà Nẵng;Đà Nẵng;Municipality;1068303.83459;1089867.6917;1111866.81818;1134310;1156753.18182
Đà Nẵng;Cẩm Lệ;Urban District;140553.77632;146542.09423;152785.54545;159295;165804.45455
Đà Nẵng;Hải Châu;Urban District;198277.47888;199353.13988;200434.63636;201522;202609.36364
Đà Nẵng;Hòa Vang;District;137922.95384;140483.79404;143092.18182;145749;148405.81818
Đà Nẵng;Liên Chiểu;Urban District;177317.97728;182999.02717;188862.09091;194913;200963.90909
Đà Nẵng;Ngũ Hành Sơn;Urban District;83113.05639;85459.18741;87871.54545;90352;92832.45455
Đà Nẵng;Sơn Trà;Urban District;149444.44405;152055.41368;154712;157415;160118
Đà Nẵng;Thanh Khê;Urban District;182213.21921;183158.5664;184108.81818;185064;186019.18182
Điện Biên;Điện Biên;Province;569736.61017;579282.2481;588987.81818;598856;608724.18182
Điện Biên;Điện Biên;District;116083.0643;117275.09363;118479.36364;119696;120912.63636
Điện Biên;Điện Biên Đông;District;64169.23783;65125.1803;66095.36364;67080;68064.63636
Điện Biên;Điện Biên Phủ;District-level City;55702.08439;56625.65822;57564.54545;58519;59473.45455
Điện Biên;Mường Ảng;District;46188.25119;46919.20536;47661.72727;48416;49170.27273
Điện Biên;Mường Chà;District;45489.88591;46313.26401;47151.54545;48005;48858.45455
Điện Biên;Mường Lay;District-level Town;11295.62058;11250.9036;11206.36364;11162;11117.63636
